IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,evaluator_episodes,evaluator_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.49687502,1.2625346,0.00017282406,147957,56587051,1491,914450,0.029063495,46.438538,41857,21022.236885786057
0.590625,1.1479753,0.000181741,147968,56597219,1491,914450,0.027358174,24.667103,41858,21023.621253728867
0.625,1.0178274,0.0001475532,147968,56597219,1491,914450,0.022617744,19.449135,41860,21024.895878076553
0.63437504,1.0949879,0.00013962235,147968,56597219,1491,914450,0.03300699,92.177795,41863,21026.14080262184
0.68125004,0.98714334,0.00014898762,147968,56597219,1491,914450,0.022234362,27.415401,41867,21027.189925432205
0.72812504,0.8522812,0.00017031273,147969,56597336,1491,914450,0.011943322,18.263264,41869,21028.66509103775
0.753125,0.7004606,0.000116111434,147969,56597336,1491,914450,0.021816486,21.545948,41871,21029.83559203148
0.678125,0.9024836,0.0001237456,147969,56597336,1491,914450,0.023565583,17.713701,41874,21031.19054555893
0.734375,0.8843382,0.00014622135,147969,56597336,1491,914450,0.021550246,33.16423,41875,21032.3235309124
0.73125,0.7902526,0.00011250931,147969,56597336,1491,914450,0.02127005,50.131897,41878,21033.323977470398
0.753125,0.6631806,0.000121308105,147969,56597336,1491,914450,0.007940358,38.158398,41880,21034.329661369324
0.69375,0.83720094,0.00012493537,147969,56597336,1491,914450,0.015705105,33.708084,41882,21035.466269493103
0.684375,0.9045691,0.00013869019,147969,56597336,1491,914450,0.010922864,23.801096,41885,21036.979689598083
0.75625,0.72487843,0.0001236546,147969,56597336,1491,914450,0.010861605,48.997086,41887,21038.10032439232
0.75937504,0.7372789,0.00014214784,147969,56597336,1491,914450,0.011191186,39.821304,41890,21039.516386270523
0.765625,0.72905874,0.00012981531,147969,56597336,1491,914450,0.010293482,18.21428,41891,21040.896880865097
0.74375004,0.72443247,0.00010716482,147970,56597696,1491,914450,0.010910985,25.947178,41893,21042.754090309143
0.74375004,0.74325055,0.00014732905,147970,56597696,1491,914450,0.014117366,42.270576,41895,21044.148460626602
0.753125,0.6785656,0.00015989985,147970,56597696,1491,914450,0.012404726,12.082453,41897,21045.425498962402
0.79062504,0.6519248,0.00013554339,147970,56597696,1491,914450,0.010377569,21.942749,41899,21046.535847902298
0.78125,0.6548505,0.00012774234,147970,56597696,1491,914450,0.013709457,13.201162,41900,21047.99242925644
0.734375,0.7216306,0.00010779961,147970,56597696,1491,914450,0.010854492,41.247124,41902,21049.774250984192
0.81875,0.5190784,0.000109448774,147970,56597696,1491,914450,0.008780528,39.13934,41905,21051.020009040833
0.79062504,0.6694,0.000116236355,147971,56602972,1492,917157,0.007957134,29.986303,41907,21052.3262758255
0.79375,0.6910741,0.000121263634,147971,56602972,1492,917157,0.0080694705,21.649563,41910,21053.80618906021
0.771875,0.68490285,0.00012921741,147971,56602972,1492,917157,0.017181616,17.331192,41911,21054.991168022156
0.765625,0.69760484,0.00010081615,147972,56607782,1492,917157,0.009741818,34.074875,41912,21057.691479682922
0.8125,0.57486993,0.0001246409,147972,56607782,1492,917157,0.008076342,9.482384,41914,21058.847274065018
0.72812504,0.73554784,0.00011840224,147973,56608232,1492,917157,0.007942527,9.052925,41916,21060.530410528183
0.771875,0.7170507,0.00013304425,147974,56608348,1492,917157,0.0068063196,10.446232,41918,21061.697266101837
0.715625,0.7773472,0.00013895072,147974,56608348,1492,917157,0.004497825,16.884819,41920,21062.880749464035
0.740625,0.7246907,0.000126747,147974,56608348,1492,917157,0.0075739897,12.189044,41922,21064.487984895706
0.7875,0.69268733,0.00013187062,147974,56608348,1492,917157,0.013669744,15.044764,41925,21066.07935667038
0.784375,0.6925088,0.00011709125,147975,56608463,1492,917157,0.0072792834,25.54784,41927,21067.102014303207
0.74375004,0.7550897,0.000112097674,147975,56608463,1492,917157,0.005172774,25.584959,41929,21068.44118618965
0.75,0.7792675,0.0001019479,147975,56608463,1492,917157,0.006325988,13.360477,41931,21069.48669910431
0.75625,0.7123013,0.00010365234,147975,56608463,1492,917157,0.0070309327,10.8869915,41935,21071.115939617157
0.80625004,0.59984845,0.00011047697,147976,56608892,1492,917157,0.009637277,8.736721,41938,21072.57910513878
0.83750004,0.51416415,0.000114884686,147976,56608892,1492,917157,0.0052088536,32.19079,41940,21073.724941253662
0.80625004,0.6187738,9.074617e-05,147976,56608892,1492,917157,0.012961255,64.75269,41943,21074.732658863068
0.85312504,0.5042801,9.505356e-05,147976,56608892,1492,917157,0.0065646386,21.623787,41945,21076.005204439163
